user,comment,clean_comment
@ibukhairumi,👍👍👍👍,
@dedahjubaedah6887,Bang aku udh🎉🎉🎉❤❤ ini aku azam.?😎😎🤤😝👍👍👌💘,bang aku udh ini aku azam
@tomimaulana5845,Bjir lagi enak² denger pake headset sempet² nya ada iklan,bjir lagi enak denger pake headset sempet nya ada iklan
@SopatiSopati-z4n4j,❤❤❤❤❤,
@alviraluluadini4935,😊😊,
@nayraindriani-z3i,mantap kk ❤❤❤❤,mantap kk 
@rapitarapita47,😮😮😊😊😊,
@rifqitri5142,🔥🔥,
@sulfaachmad1823,Versi tabola bale campur pica pica 2,versi tabola bale campur pica pica 2
@BPAmulyana,Turnamen yang kamu 😊inginkan adalah sebuah perjalanan ke dalam hati saya ni aku akan selalu ada ada Indonesia dan pakaian yang paling kamu suka sama kamu lakukan jika bertemu dengan seorang lelaki yang,turnamen yang kamu inginkan adalah sebuah perjalanan ke dalam hati saya ni aku akan selalu ada ada indonesia dan pakaian yang paling kamu suka sama kamu lakukan jika bertemu dengan seorang lelaki yang
@RaditRahman-j2t3r,😊😊😊😊😊😎😎😎😎😎😎,
@agusmarsono1375,ENAK BANGETLAGUNYA😊😊,enak bangetlagunya
@warungal-hayyan6519,Min KLO bisa buat donk lagu Timor yang lainya tapi bikin kayak gini min,min klo bisa buat donk lagu timor yang lainya tapi bikin kayak gini min
@AyuBky-g2v,😊,
@ahoahi1980,Lagunya bagus banget ya apalagi gemoy lagunya ada sebuah bale apa-apa gitu loh aku juga mau komen love lguys❤❤❤❤❤❤❤❤❤❤❤❤ aku juga suka soalnya dia itu nyanyinya yang celana apapun yang menarik pagi itu aku udah pernah lihat orangnyaguys❤❤,lagunya bagus banget ya apalagi gemoy lagunya ada sebuah bale apaapa gitu loh aku juga mau komen love lguys aku juga suka soalnya dia itu nyanyinya yang celana apapun yang menarik pagi itu aku udah pernah lihat orangnyaguys
@iswatinisah5604,inara❤❤❤❤❤❤❤❤❤❤❤ ALBY,inara alby
@rosmaya590,uh❤p,uhp
@dermaeviyanti9727,bagus sekali ❤❤❤❤😂😂😂🎉🎉🎉😢😢😢😮😮😮😅😅😅😅😊😊😊,bagus sekali 
@threeswellofficial441,👍,
@HERAWATINENGNONG,KHumAiRA❤,khumaira
@aarri221,Akhirnya ketemu yg versi ini😢😢🎉,akhirnya ketemu yg versi ini
@ViolaputriAliysa,😊❤😊❤😊❤😊❤😊❤😊❤😊,
@KevinAlfarizky-c5z,💯👀👀👀👀🧠🧠🧠🧠🧠,
@vinkalingga678,Lagunya bagus aku kasih 100 ⭐⭐⭐⭐⭐💯,lagunya bagus aku kasih 100 
@MaiAtun-u3u,aku,aku
@hilariaaprilianaapriliana2874,🙏🏻,
@CruenLux,Bagaimana kamu kembalikan mau dzikir aku apakah kamu kembalikan mau dzikir aku ok Google kamu agama kamu dzikir aku suka kepadamu kamu,bagaimana kamu kembalikan mau dzikir aku apakah kamu kembalikan mau dzikir aku ok google kamu agama kamu dzikir aku suka kepadamu kamu
@FirmanJayaMotor,🎉mata😅,mata
@DimasThor-t7n,Suara nya bagus bangat bg😎😎😎😎😎😎😎😎😎😎😎😎😎🤟🤟🤘🤘🤘🤙🤙🤟😝😝😝😝😝😝,suara nya bagus bangat bg
@RifNaura,enak bangeeeet ❤❤❤❤❤,enak bangeeeet 
@FatirRahman-w9p,Saya bukan bang,saya bukan bang
@SaifudinUjang,Lanjut baa,lanjut baa
@iswatinisah5604,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,
@DaiMennn-q9n,😂😂😂😂😂😂🎉,
@KevinAlfarizky-c5z,😮😮😮😮😮😮,
@LitaSari-k8c,Seni rupa Najwa nelo Eropa,seni rupa najwa nelo eropa
@JEPANGORANG,Truk buat kamu mau,truk buat kamu mau
@AtanasioMoriyra,Lagu.  Bagus🫰💋💋,lagu  bagus
@megamegi-z9f,ioi,ioi
@AgusmanFikri,lagu enak baget cuiiiiiiiiiiiiiiiiiii,lagu enak baget cuiiiiiiiiiiiiiiiiiii
@MonikaRombe-z1c,Nanti aja itu,nanti aja itu
@Realmenote60-x1x,Saya,saya
@RamadhanLiing-o5l,DJ 🤟🏻😜😎🕺🏻🌪️☘️🍃🌿🐯🎉,dj 
@IcaArmidaIcaa,Iya dong namanya juga joget bolak-balik,iya dong namanya juga joget bolakbalik
@ArianaAna-d9q,❤️•᷄‎ࡇ•᷅AF joy 😊,af joy 
@LitaSari-k8c,Hanifa Alika little Putri Alila Alila non ay nur ayu Nayla Amira davia Devia Afifah Aisyah,hanifa alika little putri alila alila non ay nur ayu nayla amira davia devia afifah aisyah
@SulisSulis-b2m,Yu,yu
@asep2709,😮😮😮😮😮😮😮😮😮😮😮😮😮😮,
@muhjaisar6045,🕺🕺,
@revaReva-n2i1s,❤❤❤❤❤😊😊😊😊😊😘😘😘😘😘😘😘☺☺☺,
@SamsulBambang-v8o,😉😉😉😉😉🇮🇩😎😃,
@Reihan-y2r,Iagu ya baru yang di mau,iagu ya baru yang di mau
@DaiMennn-q9n,Ruu to be to 65r😅😅😅,ruu to be to 65r
@farhanfadhila4214,rorrr,rorrr
@nandapramudita15378,uh,uh
@Reihan-y2r,❤️❤️❤️❤️❤️❤️♥️♥️♥️♥️♥️♥️Iagu aku akan tetap,iagu aku akan tetap
@AsyrafzahirulZein,ASSYRAF ❤🎉🎉a🎉,assyraf a
@selametsali1081,😆😆😆😆😆😁😁😁😁😁👍👍👍👍😎😎😎😎😎❤️❤️❤️❤️,
@ImamSupii-l7d,Siapa yang denger lagu ini 2025🎉,siapa yang denger lagu ini 2025
@muhammadhafidz8626,ngentotnyeeee,ngentotnyeeee
@MonikaRombe-z1c,Buat kenten gak sihh😂😂😂,buat kenten gak sihh
@AndiSaputra-r6w,Orang,orang
@HelmiAzkia,❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤😂❤❤❤❤❤❤❤❤❤,
@AgisRizky-c4w,"🤔🤔🤔🤔🤔🤔💯💯💯💯💯💯
❤️❤️❤️❤️❤️❤️
🤫🤫🤫🤫🤫🤫","

"
@RosiBalado,Ban,ban
@NesKabri,9https://youtu.be/6VkezACZL24?si=KEJMrEfkeZJnrEVw,9httpsyoutube6vkezaczl24sikejmrefkezjnrevw
@IlhamAinurohman-y6u,Posisi saat ini sedang lembur bikin layangan,posisi saat ini sedang lembur bikin layangan
@SyahbudiBudi-r1t,aku suka lagi ini🥰(♥ω♥*)❤( ˘ ³˘)♥,aku suka lagi ini  
@dandidandi-c2q,🎉🤬🤗🤬🤗🤭🥺😔,
@FathirAzzami-d4q,cukurukuk,cukurukuk
@SamsulBambang-v8o,faizfaizfaizfaiz,faizfaizfaizfaiz
@WarPat-e3z,Gw lagi berak,gw lagi berak
@IrulMukong,Bocot,bocot
@Driparzaplant,Ngak bagus...,ngak bagus
@Han-s8d1i,𝚃𝚒𝚊𝚙 𝚗𝚢𝚘𝚛𝚎 𝚋𝚊𝚠𝚊 𝚖𝚘𝚝𝚘𝚛😊😊 𝚐𝚔 𝚝𝚎𝚛𝚕𝚎𝚙𝚊𝚜 𝚍𝚊𝚛𝚒 𝚍𝚓 𝚒𝚗𝚒: 𝚜𝚕𝚕𝚞 𝚐𝚞𝚊 𝚙𝚞𝚝𝚎𝚛 𝚊𝚖𝚙𝚎 𝚕𝚒𝚖𝚒𝚝𝚝😊😊❤❤,             
@WawayIbad,mantap,mantap
@RahmaTana-c1i,siapayangdengerlaguini2o25🎉,siapayangdengerlaguini2o25
@TataSasmita-z3j,"Pripasinya para Mamac ya. Ciadik bidan wow.DR.adiknya aA oli. Putaputi kadung MiMi cincin. Awel Puti mama nengci. Puty ALMA.iwi tiktok.adiknya teteh Arini. Lebih tua dech.karena waktu Ciyaya nenen. Hambar gitu. Sudah gede putynya. 33kali.🤔itu ukuran nenen segitu adalah.usia bayi 1,5. tiktok.pingga",pripasinya para mamac ya ciadik bidan wowdradiknya aa oli putaputi kadung mimi cincin awel puti mama nengci puty almaiwi tiktokadiknya teteh arini lebih tua dechkarena waktu ciyaya nenen hambar gitu sudah gede putynya 33kaliitu ukuran nenen segitu adalahusia bayi 15 tiktokpingga
@AtikaPanjaitan-m8o,Gilbert 💯😎😎,gilbert 
@ErnaErna-ds8co,Aku bg,aku bg
@escincauuuu,eyy bang😭🤧,eyy bang
@gltstefan1790,Caper,caper
@lukmanfrzzd,"lu bisa apa, cuma bisa ngatain org, caper",lu bisa apa cuma bisa ngatain org caper
@HhxHxhud,❤,
@JaeLani-s4g,👍,
@AsyrafzahirulZein,ASYRAF❤🎆🎊🧧🎉🎃🎄🎆🎍🎋✨️🏅,asyraf
@SamsulBambang-v8o,faizfaizfaizfaiz,faizfaizfaizfaiz
@riskariska-co7th,mantap,mantap
@maulidasadi,❤,
@SamsulBambang-v8o,faizfaizfaizfaiz,faizfaizfaizfaiz
